1775001600000000,68284.49000000,68284.49000000,68120.99000000,68197.33000000,53.03350000,1775001899999999,3616206.46635290,13496,24.25184000,1653634.79792820,0
1775001900000000,68197.34000000,68218.34000000,68143.74000000,68171.64000000,15.85457000,1775002199999999,1081178.17749390,9404,8.19078000,558536.41302600,0
1775002200000000,68171.63000000,68171.63000000,68030.00000000,68046.00000000,56.01746000,1775002499999999,3813935.89637140,13001,12.08617000,822770.80288330,0
1775002500000000,68046.00000000,68220.00000000,68046.00000000,68138.12000000,32.88605000,1775002799999999,2240930.51237460,11664,17.25331000,1175589.01224410,0
1775002800000000,68138.12000000,68223.71000000,67934.82000000,67975.61000000,109.89417000,1775003099999999,7482628.12932370,14414,47.96951000,3269617.28979750,0
1775003100000000,67975.61000000,68000.00000000,67913.97000000,68000.00000000,55.61800000,1775003399999999,3779908.30470390,11850,28.69808000,1950546.13936950,0
1775003400000000,68000.00000000,68030.40000000,67853.30000000,67931.45000000,40.05994000,1775003699999999,2720957.69195950,12080,16.00367000,1086924.26715380,0
1775003700000000,67931.46000000,67996.92000000,67931.22000000,67979.61000000,16.22872000,1775003999999999,1103040.91166220,8518,9.67267000,657431.25329710,0
1775004000000000,67979.62000000,68066.00000000,67979.62000000,68066.00000000,34.88670000,1775004299999999,2372626.56024160,6190,9.45733000,643307.07719910,0
1775004300000000,68066.00000000,68121.00000000,68034.39000000,68120.99000000,31.76695000,1775004599999999,2162417.35797270,7625,13.20886000,899291.59551150,0
1775004600000000,68120.99000000,68343.77000000,68120.98000000,68293.43000000,71.13685000,1775004899999999,4855435.13032570,22362,49.00566000,3344908.40621230,0
1775004900000000,68293.44000000,68330.75000000,68226.71000000,68330.75000000,25.41220000,1775005199999999,1735163.79183280,10694,16.85799000,1151131.12553840,0
1775005200000000,68330.76000000,68378.64000000,68227.05000000,68340.00000000,102.29666000,1775005499999999,6990059.38099160,22498,77.43346000,5291328.07646200,0
1775005500000000,68340.00000000,68340.00000000,68150.01000000,68262.23000000,30.60733000,1775005799999999,2088414.97684320,15975,13.29612000,907225.59029690,0
1775005800000000,68262.23000000,68308.95000000,68239.62000000,68265.74000000,37.34733000,1775006099999999,2549782.60045240,9690,12.51037000,854099.47268850,0
1775006100000000,68265.74000000,68265.74000000,68059.91000000,68086.00000000,57.89653000,1775006399999999,3945874.92043220,15526,21.56362000,1469586.36612520,0
1775006400000000,68086.01000000,68111.20000000,68030.00000000,68055.98000000,20.89131000,1775006699999999,1422070.87209350,6063,7.61532000,518350.29524060,0
1775006700000000,68055.99000000,68103.47000000,68045.88000000,68046.00000000,98.38189000,1775006999999999,6696594.04140410,8110,31.22740000,2125252.20714300,0
1775007000000000,68046.00000000,68119.34000000,67912.03000000,67940.03000000,93.96378000,1775007299999999,6395361.21495180,13573,63.40257000,4316080.34561420,0
1775007300000000,67940.04000000,67987.99000000,67785.62000000,67900.62000000,200.67834000,1775007599999999,13616781.12401980,21297,70.45638000,4779968.75512970,0
1775007600000000,67900.62000000,67958.02000000,67850.00000000,67958.01000000,36.53638000,1775007899999999,2480810.61439010,9562,16.56705000,1125029.73347790,0
1775007900000000,67958.02000000,67962.24000000,67850.01000000,67869.86000000,59.82659000,1775008199999999,4061768.77968720,10031,24.91872000,1691642.18904930,0
1775008200000000,67869.86000000,67948.82000000,67855.38000000,67863.50000000,157.28194000,1775008499999999,10676380.12002690,8160,82.05119000,5568347.25141190,0
1775008500000000,67863.51000000,67922.73000000,67760.33000000,67782.73000000,70.97309000,1775008799999999,4813993.10013680,11734,30.37212000,2060480.03890360,0
1775008800000000,67782.74000000,67913.41000000,67782.37000000,67850.08000000,176.04724000,1775009099999999,11945645.90410730,10291,147.37256000,10000420.86194370,0
1775009100000000,67850.08000000,67903.48000000,67778.00000000,67840.00000000,118.59442000,1775009399999999,8046370.05911710,11540,46.93045000,3183231.94891610,0
1775009400000000,67840.00000000,67864.60000000,67712.61000000,67847.24000000,218.12860000,1775009699999999,14790010.97918660,17140,175.66773000,11911346.38798670,0
1775009700000000,67847.24000000,67911.21000000,67759.14000000,67894.00000000,39.53442000,1775009999999999,2681685.73983730,9055,12.28904000,833760.13546320,0
